Gene	logFC_BH	PValue_BH	logFC_BC	PValue_BC	logFC_HC	PValue_HC	logFC_LB	PValue_LB	FDR_BH	FDR_BC	FDR_HC	FDR_LB
FBgn0000426	0.01	0.96	0.11	0.35	0.11	0.30	0.12	0.56	0.98	0.69	0.47	0.92
FBgn0262017	0.05	0.62	-0.03	0.78	-0.08	0.42	0.02	0.93	0.79	0.92	0.59	0.99
FBgn0034626	-0.03	0.71	0.07	0.41	0.10	0.18	0.04	0.77	0.85	0.73	0.34	0.96
FBgn0041174	-0.09	0.27	0.09	0.33	0.18	0.02	0.00	1.00	0.51	0.67	0.08	1.00
FBgn0010770	0.01	0.88	-0.03	0.79	-0.04	0.65	-0.01	0.93	0.95	0.92	0.78	0.99
FBgn0031003	0.09	0.25	0.07	0.44	-0.02	0.79	0.16	0.29	0.49	0.75	0.88	0.76
FBgn0033473	0.04	0.71	0.18	0.13	0.14	0.17	0.22	0.27	0.85	0.48	0.32	0.75
FBgn0039155	-0.07	0.46	-0.14	0.20	-0.07	0.46	-0.20	0.25	0.68	0.57	0.63	0.73
FBgn0024491	-0.14	0.17	0.03	0.78	0.18	0.09	-0.11	0.58	0.40	0.92	0.21	0.93
FBgn0024294	-0.21	0.28	0.25	0.26	0.45	0.02	0.04	0.91	0.52	0.62	0.06	0.99
FBgn0045843	0.24	0.02	-0.06	0.59	-0.31	0.00	0.18	0.36	0.10	0.83	0.02	0.82
FBgn0050054	-0.14	0.15	0.10	0.38	0.24	0.01	-0.04	0.82	0.37	0.71	0.06	0.97
FBgn0024944	-0.05	0.58	0.19	0.08	0.25	0.01	0.14	0.45	0.77	0.38	0.04	0.87
FBgn0038678	-0.17	0.11	-0.20	0.09	-0.04	0.73	-0.37	0.06	0.31	0.41	0.84	0.38
FBgn0034814	-0.13	0.15	-0.14	0.18	-0.01	0.91	-0.28	0.12	0.37	0.54	0.95	0.53
FBgn0039258	0.05	0.61	-0.02	0.84	-0.08	0.46	0.03	0.89	0.79	0.94	0.63	0.99
FBgn0053673	0.14	0.21	-0.10	0.46	-0.24	0.04	0.04	0.84	0.45	0.76	0.11	0.98
FBgn0032810	-0.28	0.00	-0.12	0.28	0.16	0.10	-0.40	0.03	0.04	0.64	0.22	0.25
FBgn0003961	1.06	0.02	0.86	0.08	-0.19	0.65	1.92	0.03	0.11	0.40	0.78	0.24
FBgn0050016	0.14	0.26	0.12	0.42	-0.02	0.84	0.26	0.28	0.50	0.74	0.91	0.76
FBgn0044030	0.00	0.96	-0.14	0.25	-0.13	0.20	-0.14	0.47	0.98	0.61	0.36	0.88
FBgn0261358	0.06	0.55	-0.02	0.88	-0.08	0.44	0.04	0.83	0.75	0.95	0.61	0.98
FBgn0030998	-0.11	0.29	0.12	0.32	0.24	0.03	0.01	0.97	0.53	0.67	0.09	1.00
FBgn0038426	-0.07	0.50	-0.10	0.40	-0.03	0.77	-0.16	0.39	0.71	0.73	0.86	0.85
FBgn0038592	0.08	0.70	-0.49	0.05	-0.57	0.01	-0.41	0.31	0.84	0.31	0.04	0.78
FBgn0035152	-0.37	0.00	0.07	0.51	0.44	0.00	-0.30	0.11	0.00	0.79	0.00	0.51
FBgn0031281	-0.08	0.32	0.07	0.47	0.15	0.07	-0.01	0.93	0.56	0.77	0.17	0.99
FBgn0038054	0.15	0.22	-0.06	0.66	-0.21	0.08	0.09	0.70	0.45	0.87	0.19	0.96
FBgn0085452	0.09	0.49	0.45	0.00	0.36	0.00	0.53	0.02	0.70	0.04	0.02	0.22
FBgn0261388	-0.01	0.90	0.10	0.44	0.11	0.30	0.09	0.69	0.95	0.75	0.48	0.95
FBgn0014092	-0.02	0.83	-0.03	0.80	-0.01	0.93	-0.05	0.79	0.92	0.92	0.96	0.97
