Gene	logFC_BH	PValue_BH	logFC_BC	PValue_BC	logFC_HC	PValue_HC	logFC_LB	PValue_LB	FDR_BH	FDR_BC	FDR_HC	FDR_LB
FBgn0015371	-0.12	0.06	-0.05	0.47	0.07	0.29	-0.17	0.16	0.22	0.77	0.47	0.60
FBgn0021895	-0.06	0.34	0.08	0.30	0.14	0.03	0.02	0.90	0.58	0.65	0.09	0.99
FBgn0025712	-0.30	0.00	-0.18	0.01	0.12	0.07	-0.48	0.00	0.00	0.16	0.17	0.00
FBgn0038733	-0.46	0.00	0.06	0.51	0.53	0.00	-0.40	0.01	0.00	0.79	0.00	0.16
FBgn0013984	-0.11	0.35	0.29	0.04	0.40	0.00	0.18	0.44	0.59	0.28	0.01	0.87
FBgn0041712	0.19	0.05	0.39	0.00	0.20	0.03	0.58	0.00	0.19	0.02	0.10	0.03
FBgn0041707	0.04	0.62	0.04	0.69	0.00	0.97	0.07	0.62	0.79	0.88	0.98	0.94
FBgn0043539	-0.02	0.80	-0.05	0.54	-0.03	0.65	-0.07	0.61	0.90	0.81	0.78	0.93
FBgn0032886	-0.11	0.13	0.10	0.26	0.21	0.00	-0.02	0.91	0.34	0.62	0.02	0.99
FBgn0051637	-0.10	0.09	-0.02	0.80	0.09	0.16	-0.12	0.30	0.28	0.92	0.32	0.77
FBgn0051798	0.09	0.28	-0.20	0.04	-0.29	0.00	-0.11	0.48	0.52	0.28	0.01	0.89
FBgn0021764	-0.01	0.91	0.10	0.29	0.11	0.18	0.09	0.56	0.96	0.65	0.34	0.92
FBgn0034506	0.05	0.49	-0.06	0.53	-0.11	0.15	0.00	0.99	0.70	0.80	0.31	1.00
FBgn0036910	0.09	0.13	0.02	0.74	-0.07	0.25	0.11	0.32	0.33	0.90	0.42	0.79
FBgn0024754	0.09	0.16	0.16	0.03	0.07	0.27	0.25	0.04	0.39	0.25	0.44	0.31
FBgn0025866	-0.11	0.11	0.05	0.57	0.16	0.02	-0.07	0.62	0.31	0.82	0.08	0.94
FBgn0000229	0.09	0.12	0.07	0.27	-0.02	0.78	0.16	0.14	0.32	0.62	0.87	0.57
FBgn0036924	0.12	0.14	-0.08	0.39	-0.21	0.01	0.04	0.81	0.36	0.72	0.06	0.97
FBgn0036152	0.07	0.37	0.10	0.27	0.03	0.72	0.17	0.26	0.60	0.63	0.83	0.73
FBgn0034532	0.12	0.16	-0.16	0.10	-0.28	0.00	-0.04	0.79	0.38	0.42	0.01	0.97
FBgn0263256	-0.17	0.01	0.06	0.42	0.23	0.00	-0.11	0.39	0.07	0.74	0.00	0.85
FBgn0026192	0.10	0.10	0.08	0.22	-0.01	0.81	0.18	0.11	0.29	0.58	0.89	0.51
FBgn0004364	-0.08	0.20	0.10	0.15	0.18	0.00	0.02	0.85	0.43	0.51	0.02	0.98
FBgn0036896	-0.04	0.60	0.02	0.78	0.06	0.39	-0.01	0.92	0.78	0.92	0.57	0.99
FBgn0259240	-0.27	0.02	0.01	0.93	0.28	0.02	-0.26	0.26	0.12	0.97	0.06	0.73
FBgn0029976	-0.05	0.47	0.04	0.58	0.09	0.17	0.00	0.97	0.69	0.82	0.32	1.00
FBgn0031090	-0.07	0.28	0.05	0.50	0.12	0.06	-0.02	0.87	0.52	0.78	0.16	0.98
FBgn0039466	-0.15	0.06	0.10	0.28	0.26	0.00	-0.05	0.76	0.23	0.63	0.01	0.96
FBgn0250785	-0.02	0.68	0.08	0.25	0.10	0.08	0.05	0.64	0.83	0.62	0.20	0.94
FBgn0032684	-0.13	0.22	-0.25	0.03	-0.13	0.23	-0.38	0.05	0.45	0.27	0.39	0.35
FBgn0003507	0.19	0.01	0.12	0.12	-0.06	0.34	0.31	0.02	0.05	0.46	0.52	0.18
FBgn0036497	0.19	0.02	-0.23	0.02	-0.43	0.00	-0.04	0.81	0.11	0.19	0.00	0.97
FBgn0039944	-0.12	0.07	-0.12	0.12	0.00	0.99	-0.25	0.06	0.24	0.47	0.99	0.38
FBgn0001965	-0.05	0.36	0.12	0.09	0.17	0.00	0.06	0.58	0.60	0.40	0.02	0.93
FBgn0011576	-0.24	0.00	-0.04	0.63	0.19	0.02	-0.28	0.06	0.03	0.85	0.06	0.39
FBgn0024326	-0.01	0.90	0.03	0.67	0.03	0.54	0.02	0.85	0.95	0.88	0.70	0.98
FBgn0013756	0.00	0.95	0.12	0.07	0.13	0.03	0.12	0.30	0.98	0.38	0.10	0.78
FBgn0040636	0.26	0.00	-0.15	0.07	-0.41	0.00	0.10	0.48	0.01	0.37	0.00	0.89
FBgn0010621	-0.11	0.11	0.10	0.21	0.20	0.00	-0.01	0.93	0.31	0.58	0.02	0.99
FBgn0030400	0.10	0.09	0.08	0.24	-0.02	0.72	0.18	0.11	0.28	0.61	0.84	0.52
FBgn0001197	-0.01	0.86	-0.03	0.63	-0.02	0.70	-0.04	0.70	0.93	0.85	0.82	0.96
FBgn0051021	-0.04	0.63	-0.03	0.73	0.01	0.93	-0.06	0.64	0.80	0.89	0.96	0.94
FBgn0030296	0.11	0.15	-0.09	0.28	-0.20	0.01	0.02	0.91	0.37	0.64	0.04	0.99
FBgn0033063	0.11	0.12	-0.18	0.03	-0.29	0.00	-0.07	0.59	0.33	0.24	0.00	0.93
FBgn0022153	-0.12	0.05	0.03	0.70	0.14	0.01	-0.09	0.42	0.19	0.88	0.06	0.86
FBgn0034606	-0.10	0.10	0.04	0.57	0.14	0.02	-0.06	0.60	0.29	0.82	0.07	0.93
FBgn0033248	0.15	0.03	-0.07	0.43	-0.22	0.00	0.09	0.53	0.15	0.74	0.02	0.91
FBgn0005386	-0.07	0.31	0.05	0.50	0.12	0.07	-0.02	0.90	0.55	0.78	0.18	0.99
FBgn0034117	0.65	0.00	0.27	0.01	-0.38	0.00	0.92	0.00	0.00	0.14	0.00	0.00
FBgn0042712	0.07	0.24	-0.04	0.60	-0.11	0.08	0.03	0.77	0.48	0.84	0.18	0.96
FBgn0027079	-0.06	0.25	-0.01	0.82	0.05	0.37	-0.08	0.46	0.49	0.93	0.55	0.88
FBgn0034970	0.05	0.39	0.07	0.23	0.03	0.61	0.12	0.25	0.63	0.60	0.75	0.72
FBgn0051997	-0.07	0.39	0.09	0.33	0.15	0.04	0.02	0.89	0.62	0.67	0.13	0.99
FBgn0033876	-0.14	0.02	-0.07	0.30	0.07	0.28	-0.21	0.07	0.12	0.66	0.45	0.40
FBgn0004391	0.00	0.97	0.00	0.96	0.01	0.92	0.00	0.99	0.99	0.99	0.96	1.00
FBgn0043806	0.32	0.00	0.18	0.13	-0.14	0.15	0.50	0.01	0.02	0.47	0.31	0.13
FBgn0002528	-0.15	0.06	0.09	0.36	0.23	0.00	-0.06	0.68	0.23	0.69	0.02	0.95
FBgn0040238	-0.10	0.09	-0.07	0.32	0.03	0.60	-0.17	0.14	0.28	0.67	0.74	0.57
FBgn0013771	0.20	0.03	0.07	0.49	-0.12	0.18	0.27	0.13	0.15	0.78	0.34	0.55
FBgn0033039	0.03	0.77	0.02	0.80	0.00	1.00	0.05	0.76	0.89	0.93	1.00	0.96
FBgn0032388	0.03	0.62	0.04	0.53	0.01	0.83	0.07	0.52	0.79	0.80	0.90	0.91
FBgn0037689	-0.09	0.19	-0.04	0.63	0.05	0.45	-0.13	0.32	0.42	0.85	0.62	0.80
FBgn0034097	0.15	0.05	-0.19	0.04	-0.34	0.00	-0.04	0.80	0.20	0.28	0.00	0.97
FBgn0028669	0.19	0.01	0.00	0.96	-0.19	0.01	0.18	0.18	0.06	0.99	0.03	0.64
FBgn0037323	-0.63	0.00	0.14	0.42	0.77	0.00	-0.49	0.09	0.00	0.74	0.00	0.45
FBgn0037942	0.08	0.25	-0.14	0.07	-0.21	0.00	-0.06	0.63	0.49	0.37	0.01	0.94
FBgn0033337	0.06	0.25	-0.06	0.33	-0.13	0.02	0.00	0.99	0.49	0.68	0.08	1.00
FBgn0265274	0.00	0.97	-0.02	0.80	-0.03	0.73	-0.02	0.89	0.98	0.92	0.84	0.99
FBgn0036309	0.09	0.13	0.00	0.97	-0.09	0.14	0.09	0.42	0.34	0.99	0.29	0.86
FBgn0035455	0.14	0.06	-0.18	0.03	-0.32	0.00	-0.04	0.74	0.21	0.25	0.00	0.96
FBgn0037897	-0.06	0.32	0.10	0.17	0.16	0.01	0.04	0.76	0.56	0.53	0.04	0.96
FBgn0036482	0.16	0.02	-0.08	0.34	-0.23	0.00	0.08	0.53	0.12	0.68	0.01	0.91
FBgn0035567	0.06	0.41	-0.21	0.01	-0.27	0.00	-0.15	0.28	0.64	0.17	0.00	0.76
FBgn0039252	-0.13	0.03	-0.06	0.34	0.06	0.27	-0.19	0.08	0.13	0.68	0.44	0.44
FBgn0038321	-0.04	0.58	-0.14	0.09	-0.10	0.16	-0.18	0.18	0.76	0.40	0.31	0.64
FBgn0052446	-0.01	0.86	-0.08	0.31	-0.07	0.32	-0.09	0.48	0.93	0.66	0.50	0.89
FBgn0034697	-0.08	0.14	0.06	0.38	0.14	0.01	-0.03	0.80	0.35	0.72	0.05	0.97
FBgn0011300	0.03	0.70	0.13	0.19	0.10	0.25	0.16	0.32	0.85	0.54	0.42	0.79
FBgn0037807	-0.10	0.21	-0.24	0.01	-0.13	0.11	-0.34	0.03	0.45	0.17	0.24	0.26
FBgn0030744	0.12	0.08	-0.08	0.32	-0.20	0.00	0.04	0.74	0.25	0.67	0.02	0.96
FBgn0032003	0.09	0.29	-0.14	0.15	-0.23	0.01	-0.05	0.76	0.53	0.51	0.03	0.96
FBgn0262899	-0.05	0.47	-0.02	0.76	0.02	0.72	-0.07	0.58	0.69	0.91	0.83	0.93
FBgn0022343	-0.04	0.58	0.05	0.50	0.09	0.18	0.01	0.91	0.77	0.78	0.34	0.99
FBgn0028497	-0.01	0.82	0.04	0.48	0.05	0.29	0.03	0.76	0.91	0.77	0.47	0.96
FBgn0036760	0.19	0.00	-0.07	0.33	-0.25	0.00	0.12	0.28	0.02	0.68	0.00	0.76
FBgn0036159	0.12	0.18	-0.09	0.36	-0.21	0.02	0.03	0.88	0.41	0.70	0.06	0.99
FBgn0029715	0.03	0.59	0.04	0.58	0.01	0.93	0.07	0.54	0.77	0.83	0.96	0.92
FBgn0029708	-0.14	0.04	-0.03	0.65	0.10	0.12	-0.17	0.17	0.16	0.86	0.25	0.63
FBgn0030341	-0.01	0.90	0.06	0.43	0.07	0.30	0.05	0.68	0.95	0.74	0.47	0.95
FBgn0037081	-0.10	0.06	0.02	0.78	0.11	0.03	-0.08	0.42	0.23	0.92	0.09	0.86
FBgn0001122	-0.21	0.02	0.03	0.78	0.24	0.01	-0.18	0.31	0.12	0.92	0.04	0.78
FBgn0032175	0.17	0.05	-0.02	0.84	-0.19	0.03	0.15	0.36	0.19	0.94	0.09	0.83
FBgn0037698	-0.29	0.02	0.02	0.90	0.31	0.01	-0.27	0.25	0.10	0.96	0.05	0.73
FBgn0012051	-0.07	0.20	-0.02	0.77	0.05	0.35	-0.09	0.40	0.43	0.91	0.52	0.85
FBgn0038892	0.20	0.03	-0.04	0.72	-0.24	0.01	0.16	0.37	0.15	0.89	0.05	0.84
FBgn0039705	0.04	0.47	-0.17	0.02	-0.21	0.00	-0.13	0.28	0.69	0.19	0.01	0.75
FBgn0038872	-0.06	0.36	0.10	0.17	0.16	0.01	0.04	0.73	0.60	0.53	0.05	0.96
FBgn0032673	-0.06	0.36	0.09	0.20	0.15	0.02	0.03	0.77	0.59	0.56	0.06	0.97
FBgn0003328	-0.07	0.49	0.06	0.62	0.13	0.21	-0.01	0.95	0.70	0.85	0.37	0.99
FBgn0004456	0.05	0.47	0.11	0.14	0.06	0.32	0.15	0.20	0.68	0.49	0.50	0.67
FBgn0030603	0.19	0.01	0.24	0.00	0.05	0.50	0.42	0.00	0.07	0.10	0.66	0.05
FBgn0002774	0.00	0.97	0.02	0.77	0.02	0.71	0.02	0.88	0.99	0.92	0.83	0.99
FBgn0021768	-0.02	0.72	-0.12	0.10	-0.09	0.12	-0.14	0.23	0.86	0.42	0.25	0.71
FBgn0026787	0.05	0.37	0.02	0.76	-0.03	0.59	0.07	0.51	0.60	0.91	0.73	0.90
FBgn0051999	-0.25	0.00	-0.02	0.82	0.22	0.01	-0.27	0.08	0.03	0.93	0.03	0.44
FBgn0031093	-0.05	0.41	-0.08	0.23	-0.03	0.58	-0.13	0.25	0.64	0.59	0.72	0.72
FBgn0035807	-0.04	0.42	0.01	0.90	0.05	0.34	-0.04	0.73	0.65	0.96	0.52	0.96
FBgn0031266	-0.03	0.63	-0.02	0.79	0.01	0.85	-0.04	0.68	0.80	0.92	0.92	0.95
FBgn0029747	-0.02	0.80	-0.18	0.04	-0.16	0.04	-0.20	0.18	0.90	0.30	0.12	0.63
FBgn0041205	0.24	0.00	0.05	0.39	-0.19	0.00	0.30	0.00	0.00	0.72	0.00	0.07
FBgn0004581	0.17	0.02	-0.05	0.53	-0.22	0.00	0.12	0.39	0.10	0.80	0.01	0.84
FBgn0086707	-0.10	0.07	0.02	0.71	0.12	0.02	-0.08	0.46	0.24	0.89	0.08	0.88
FBgn0004606	0.02	0.83	0.18	0.05	0.17	0.04	0.20	0.19	0.92	0.31	0.11	0.65
FBgn0064766	-0.11	0.06	0.10	0.12	0.21	0.00	-0.01	0.96	0.23	0.47	0.00	0.99
FBgn0261555	-0.05	0.38	0.02	0.75	0.07	0.21	-0.03	0.79	0.62	0.91	0.38	0.97
FBgn0032938	-0.01	0.81	0.00	0.96	0.02	0.76	-0.01	0.93	0.91	0.99	0.86	0.99
FBgn0027528	0.03	0.61	0.11	0.17	0.07	0.27	0.14	0.27	0.79	0.53	0.44	0.75
FBgn0040285	-0.03	0.58	-0.03	0.67	0.00	0.95	-0.06	0.58	0.76	0.87	0.97	0.93
FBgn0052072	-0.43	0.01	-0.14	0.48	0.29	0.09	-0.58	0.08	0.07	0.77	0.21	0.43
FBgn0085337	0.06	0.35	-0.21	0.00	-0.27	0.00	-0.15	0.22	0.59	0.10	0.00	0.69
FBgn0050344	0.14	0.03	0.19	0.01	0.06	0.35	0.33	0.01	0.13	0.11	0.53	0.08
FBgn0010762	0.06	0.35	0.09	0.21	0.03	0.62	0.15	0.21	0.58	0.57	0.76	0.68
FBgn0030648	-0.04	0.54	0.07	0.34	0.11	0.08	0.03	0.80	0.74	0.68	0.20	0.97
FBgn0260470	-0.01	0.84	-0.13	0.09	-0.12	0.08	-0.14	0.26	0.92	0.41	0.19	0.73
FBgn0011745	0.05	0.37	0.11	0.09	0.06	0.30	0.16	0.14	0.60	0.42	0.48	0.57
FBgn0039298	0.15	0.05	0.25	0.00	0.10	0.19	0.40	0.01	0.20	0.10	0.35	0.10
FBgn0034085	0.06	0.39	0.07	0.42	0.01	0.94	0.13	0.35	0.62	0.74	0.97	0.82
FBgn0037027	0.03	0.57	0.13	0.05	0.10	0.08	0.17	0.14	0.76	0.31	0.20	0.57
FBgn0031367	0.14	0.08	-0.15	0.12	-0.29	0.00	0.00	0.98	0.26	0.46	0.00	1.00
FBgn0261983	0.02	0.67	0.06	0.38	0.03	0.56	0.08	0.46	0.83	0.71	0.71	0.88
FBgn0260742	-0.04	0.47	-0.05	0.42	-0.01	0.83	-0.09	0.38	0.69	0.74	0.90	0.84
FBgn0020299	-0.07	0.21	0.05	0.47	0.12	0.04	-0.02	0.82	0.44	0.77	0.11	0.98
FBgn0026313	-0.18	0.00	0.03	0.69	0.21	0.00	-0.15	0.22	0.04	0.88	0.01	0.68
FBgn0032609	0.12	0.14	-0.06	0.51	-0.19	0.03	0.06	0.71	0.36	0.79	0.09	0.96
FBgn0015229	0.11	0.15	0.06	0.49	-0.05	0.51	0.17	0.25	0.37	0.78	0.67	0.72
FBgn0035558	0.09	0.13	0.06	0.39	-0.03	0.58	0.15	0.19	0.34	0.72	0.73	0.66
FBgn0034158	-0.06	0.38	0.00	0.96	0.07	0.35	-0.06	0.67	0.61	0.99	0.53	0.95
FBgn0031497	-0.02	0.82	0.09	0.31	0.11	0.16	0.07	0.62	0.91	0.66	0.31	0.94
FBgn0036941	0.09	0.24	-0.13	0.16	-0.22	0.01	-0.04	0.81	0.48	0.52	0.03	0.97
FBgn0004462	-0.08	0.24	0.10	0.18	0.18	0.01	0.02	0.85	0.48	0.54	0.03	0.98
FBgn0259211	-0.09	0.19	0.08	0.29	0.17	0.01	-0.01	0.96	0.42	0.65	0.05	0.99
FBgn0261108	-0.03	0.69	-0.11	0.18	-0.08	0.25	-0.13	0.31	0.84	0.54	0.42	0.78
FBgn0024179	0.09	0.18	-0.02	0.76	-0.11	0.09	0.07	0.61	0.41	0.91	0.21	0.93
FBgn0030691	0.11	0.09	-0.11	0.17	-0.22	0.00	0.01	0.95	0.27	0.54	0.01	0.99
FBgn0001258	0.40	0.00	0.31	0.01	-0.09	0.37	0.71	0.00	0.00	0.12	0.54	0.01
FBgn0019929	0.12	0.09	0.15	0.06	0.03	0.61	0.27	0.04	0.28	0.34	0.75	0.31
FBgn0013811	-0.06	0.44	0.01	0.93	0.07	0.38	-0.05	0.73	0.66	0.97	0.55	0.96
FBgn0034850	0.06	0.41	-0.17	0.07	-0.23	0.00	-0.10	0.49	0.64	0.36	0.02	0.89
FBgn0052758	-0.09	0.16	0.04	0.55	0.13	0.04	-0.04	0.70	0.38	0.81	0.11	0.96
FBgn0015008	0.11	0.14	-0.12	0.15	-0.23	0.00	-0.01	0.92	0.36	0.51	0.01	0.99
FBgn0033755	0.04	0.53	0.07	0.31	0.03	0.59	0.10	0.35	0.73	0.67	0.74	0.82
FBgn0032402	0.30	0.00	0.17	0.15	-0.13	0.21	0.47	0.02	0.04	0.51	0.37	0.18
FBgn0034067	-0.19	0.00	0.05	0.45	0.24	0.00	-0.14	0.18	0.01	0.75	0.00	0.64
FBgn0037826	0.15	0.04	-0.18	0.04	-0.34	0.00	-0.03	0.85	0.17	0.28	0.00	0.98
FBgn0052250	0.13	0.03	-0.05	0.46	-0.18	0.00	0.08	0.47	0.13	0.76	0.01	0.88
FBgn0027865	-0.02	0.82	0.07	0.41	0.08	0.24	0.05	0.71	0.91	0.73	0.40	0.96
FBgn0250841	-0.20	0.05	-0.12	0.30	0.08	0.44	-0.32	0.10	0.19	0.66	0.61	0.48
FBgn0041630	0.09	0.31	0.15	0.15	0.06	0.52	0.24	0.17	0.55	0.51	0.68	0.62
FBgn0034538	0.40	0.00	0.12	0.22	-0.28	0.00	0.52	0.00	0.00	0.58	0.01	0.04
FBgn0051010	0.21	0.01	-0.10	0.23	-0.31	0.00	0.10	0.49	0.05	0.60	0.00	0.89
FBgn0261238	-0.04	0.62	0.02	0.83	0.06	0.45	-0.02	0.90	0.79	0.94	0.62	0.99
FBgn0001105	-0.07	0.26	0.03	0.70	0.09	0.11	-0.04	0.72	0.49	0.88	0.24	0.96
FBgn0037467	-0.10	0.08	0.01	0.83	0.11	0.04	-0.08	0.43	0.26	0.94	0.13	0.86
FBgn0031563	0.07	0.33	0.10	0.17	0.04	0.56	0.17	0.19	0.57	0.54	0.71	0.65
FBgn0039261	0.00	0.93	0.09	0.16	0.09	0.12	0.10	0.37	0.97	0.51	0.26	0.84
FBgn0030838	-0.05	0.32	0.04	0.51	0.10	0.08	-0.01	0.90	0.56	0.79	0.19	0.99
FBgn0264308	-0.24	0.01	-0.16	0.16	0.08	0.39	-0.39	0.03	0.08	0.51	0.56	0.25
FBgn0031061	0.01	0.89	-0.02	0.73	-0.03	0.58	-0.01	0.89	0.95	0.90	0.73	0.99
FBgn0034070	-0.26	0.00	-0.05	0.56	0.22	0.00	-0.31	0.02	0.01	0.82	0.02	0.22
FBgn0037461	0.25	0.00	-0.03	0.70	-0.29	0.00	0.22	0.15	0.02	0.88	0.00	0.59
FBgn0259748	0.46	0.00	-0.02	0.85	-0.49	0.00	0.44	0.05	0.00	0.94	0.00	0.35
FBgn0030930	-0.06	0.37	0.12	0.12	0.18	0.01	0.06	0.64	0.60	0.46	0.03	0.94
FBgn0051874	0.04	0.68	-0.16	0.14	-0.20	0.04	-0.12	0.49	0.84	0.49	0.11	0.89
FBgn0035981	0.12	0.05	0.07	0.31	-0.05	0.42	0.19	0.10	0.19	0.66	0.59	0.49
FBgn0038213	0.02	0.87	-0.17	0.14	-0.18	0.06	-0.15	0.42	0.94	0.50	0.16	0.86
FBgn0034264	0.11	0.13	-0.19	0.02	-0.29	0.00	-0.08	0.56	0.35	0.23	0.00	0.92
FBgn0033452	0.01	0.86	0.08	0.26	0.07	0.26	0.09	0.45	0.93	0.62	0.43	0.87
FBgn0027569	0.11	0.04	0.13	0.04	0.02	0.73	0.25	0.02	0.17	0.28	0.84	0.19
FBgn0036493	0.00	0.97	0.00	0.97	-0.01	0.94	0.00	1.00	0.99	0.99	0.97	1.00
FBgn0038887	0.06	0.62	-0.13	0.35	-0.19	0.12	-0.07	0.76	0.79	0.69	0.25	0.96
FBgn0014000	0.12	0.13	0.22	0.02	0.10	0.21	0.35	0.03	0.34	0.19	0.37	0.23
FBgn0051804	-0.01	0.88	-0.19	0.03	-0.18	0.02	-0.20	0.15	0.94	0.24	0.06	0.60
FBgn0027090	-0.04	0.58	0.06	0.39	0.10	0.12	0.03	0.82	0.77	0.72	0.26	0.97
FBgn0039234	0.02	0.77	-0.01	0.88	-0.03	0.63	0.01	0.95	0.89	0.95	0.77	0.99
FBgn0027360	0.11	0.07	-0.10	0.15	-0.21	0.00	0.01	0.95	0.24	0.51	0.01	0.99
FBgn0263144	-0.11	0.08	0.07	0.29	0.18	0.00	-0.03	0.79	0.27	0.65	0.02	0.97
FBgn0025806	0.03	0.61	0.03	0.71	-0.01	0.93	0.06	0.62	0.79	0.89	0.96	0.94
FBgn0004880	-0.28	0.00	-0.04	0.68	0.23	0.01	-0.32	0.07	0.03	0.88	0.05	0.41
FBgn0039902	0.04	0.46	0.06	0.30	0.02	0.66	0.10	0.31	0.68	0.66	0.79	0.79
FBgn0015609	-0.20	0.07	-0.08	0.51	0.11	0.29	-0.28	0.17	0.23	0.79	0.46	0.63
FBgn0005411	-0.01	0.84	0.03	0.59	0.04	0.41	0.02	0.83	0.92	0.83	0.58	0.98
FBgn0039872	1.03	0.00	0.56	0.00	-0.47	0.00	1.60	0.00	0.00	0.01	0.01	0.00
FBgn0030743	0.17	0.01	0.01	0.87	-0.15	0.02	0.18	0.15	0.07	0.95	0.07	0.60
FBgn0035205	-0.14	0.01	0.03	0.64	0.17	0.00	-0.12	0.24	0.04	0.86	0.01	0.71
FBgn0037486	0.07	0.56	-0.10	0.51	-0.17	0.18	-0.02	0.93	0.75	0.79	0.34	0.99
FBgn0035505	-0.35	0.00	0.04	0.71	0.39	0.00	-0.30	0.10	0.01	0.89	0.00	0.48
FBgn0053489	0.09	0.36	-0.21	0.06	-0.30	0.00	-0.12	0.52	0.60	0.35	0.02	0.91
FBgn0033610	0.11	0.23	-0.08	0.43	-0.19	0.04	0.03	0.87	0.46	0.75	0.11	0.99
FBgn0038709	0.21	0.01	-0.14	0.13	-0.35	0.00	0.07	0.67	0.07	0.48	0.00	0.95
FBgn0037714	0.40	0.00	0.39	0.00	-0.01	0.90	0.79	0.00	0.00	0.01	0.94	0.00
FBgn0029095	0.11	0.09	0.04	0.59	-0.07	0.27	0.15	0.22	0.27	0.83	0.44	0.69
FBgn0032553	0.22	0.00	-0.10	0.27	-0.32	0.00	0.12	0.41	0.04	0.63	0.00	0.85
FBgn0031934	0.13	0.03	-0.17	0.01	-0.30	0.00	-0.04	0.74	0.14	0.18	0.00	0.96
FBgn0038475	-0.01	0.90	-0.04	0.69	-0.03	0.74	-0.05	0.76	0.95	0.88	0.85	0.96
FBgn0033698	0.09	0.17	0.09	0.24	0.00	1.00	0.18	0.15	0.40	0.60	1.00	0.60
FBgn0035544	-0.63	0.00	0.02	0.88	0.66	0.00	-0.61	0.01	0.00	0.95	0.00	0.13
FBgn0035356	-0.10	0.25	-0.12	0.26	-0.01	0.89	-0.22	0.20	0.49	0.62	0.94	0.67
FBgn0037283	0.07	0.38	-0.23	0.01	-0.29	0.00	-0.16	0.26	0.61	0.14	0.00	0.74
FBgn0051719	-0.14	0.03	0.01	0.90	0.15	0.02	-0.13	0.29	0.14	0.96	0.07	0.77
FBgn0036142	0.13	0.02	-0.04	0.55	-0.17	0.00	0.09	0.41	0.12	0.81	0.02	0.85
FBgn0260748	-0.19	0.00	-0.11	0.17	0.08	0.21	-0.30	0.02	0.04	0.53	0.37	0.19
FBgn0051908	-0.08	0.11	0.13	0.03	0.21	0.00	0.04	0.68	0.30	0.27	0.00	0.95
FBgn0035316	0.10	0.24	-0.14	0.14	-0.24	0.00	-0.04	0.79	0.48	0.50	0.02	0.97
FBgn0032643	-0.17	0.02	0.06	0.44	0.23	0.00	-0.10	0.46	0.12	0.75	0.01	0.88
FBgn0002542	0.08	0.39	-0.13	0.21	-0.22	0.02	-0.05	0.76	0.62	0.57	0.08	0.96
FBgn0036222	0.02	0.78	-0.21	0.01	-0.23	0.00	-0.19	0.16	0.89	0.15	0.01	0.61
FBgn0033782	-0.20	0.06	-0.33	0.01	-0.13	0.23	-0.53	0.01	0.21	0.13	0.40	0.11
FBgn0037090	0.15	0.06	0.05	0.61	-0.10	0.19	0.19	0.20	0.22	0.85	0.36	0.67
FBgn0020622	-0.09	0.19	0.03	0.67	0.12	0.07	-0.05	0.67	0.42	0.87	0.17	0.95
FBgn0040234	-0.08	0.26	-0.05	0.50	0.03	0.72	-0.14	0.32	0.50	0.79	0.83	0.79
FBgn0052677	-0.25	0.00	-0.03	0.71	0.21	0.01	-0.28	0.07	0.03	0.89	0.04	0.40
FBgn0002306	-0.26	0.00	-0.06	0.37	0.20	0.00	-0.32	0.00	0.00	0.70	0.00	0.05
FBgn0030933	0.04	0.65	-0.12	0.23	-0.16	0.07	-0.08	0.63	0.81	0.60	0.17	0.94
FBgn0020249	-0.03	0.59	0.07	0.28	0.10	0.07	0.04	0.72	0.77	0.64	0.18	0.96
FBgn0033474	0.04	0.38	-0.02	0.75	-0.06	0.22	0.03	0.79	0.62	0.91	0.38	0.97
FBgn0260753	0.07	0.43	0.17	0.08	0.10	0.22	0.24	0.14	0.66	0.39	0.38	0.58
FBgn0039776	-0.01	0.94	0.12	0.19	0.13	0.11	0.11	0.46	0.97	0.55	0.24	0.88
FBgn0002525	-0.09	0.14	0.11	0.11	0.20	0.00	0.02	0.85	0.36	0.45	0.01	0.98
FBgn0031738	-0.04	0.64	0.09	0.39	0.14	0.14	0.05	0.78	0.81	0.72	0.29	0.97
FBgn0003210	-0.09	0.20	0.03	0.73	0.11	0.09	-0.06	0.64	0.43	0.90	0.21	0.94
FBgn0033055	0.02	0.70	-0.06	0.31	-0.09	0.12	-0.04	0.68	0.85	0.66	0.25	0.95
FBgn0259101	-0.08	0.45	-0.07	0.57	0.01	0.92	-0.15	0.46	0.67	0.82	0.96	0.88
FBgn0034964	-0.06	0.36	0.11	0.12	0.17	0.01	0.06	0.65	0.60	0.46	0.03	0.94
FBgn0029899	-0.03	0.74	0.09	0.36	0.12	0.16	0.06	0.70	0.87	0.70	0.32	0.96
FBgn0031168	-0.02	0.76	-0.12	0.14	-0.10	0.17	-0.14	0.30	0.88	0.50	0.32	0.77
FBgn0035402	0.11	0.05	0.04	0.58	-0.07	0.19	0.15	0.18	0.21	0.83	0.36	0.64
FBgn0038682	-0.06	0.33	-0.02	0.78	0.04	0.52	-0.08	0.50	0.57	0.92	0.68	0.89
FBgn0263774	0.09	0.16	-0.11	0.13	-0.20	0.00	-0.02	0.85	0.38	0.47	0.01	0.98
FBgn0032005	0.06	0.33	0.19	0.01	0.12	0.06	0.25	0.05	0.57	0.17	0.15	0.32
FBgn0034046	0.05	0.61	0.11	0.34	0.06	0.55	0.16	0.41	0.79	0.69	0.71	0.85
